id,entrez_gene_id,hugo_symbol,hgnc_id,id,reference_genome,ensembl_transcript_id,canonical,ensembl_protein_id,reference_sequence_id,description,ensembl_gene_id,gene_id
23762,3207,HOXA11,5101,5688,GRCh37,ENST00000006015.3,1,ENSP00000006015.3,NM_005523,,4794,23762
12129,972,CD74,1697,1805,GRCh37,ENST00000009530.7,1,ENSP00000009530.7,NM_001025159,,1529,12129
23416,608,TNFRSF17,11913,1105,GRCh37,ENST00000053243.1,1,ENSP00000053243.1,NM_001192,,938,23416
32931,2767,GNA11,4379,4772,GRCh37,ENST00000078429.4,1,ENSP00000078429.3,NM_002067.2,,4021,32931
32410,933,CD22,1643,1724,GRCh37,ENST00000085219.5,1,ENSP00000085219.4,NM_001771,,1457,32410
22893,100271849,MEF2B,6995,63282,GRCh37,ENST00000162023.5,1,ENSP00000162023.5,NM_001145785.1,,56163,22893
23404,602,BCL3,998,1092,GRCh37,ENST00000164227.5,1,ENSP00000164227.5,NM_005178,,928,23404
18194,9319,TRIP13,12307,15956,GRCh37,ENST00000166345.3,1,ENSP00000166345.3,NM_004237.3,,13439,18194
39046,2249,FGF4,3682,4051,GRCh37,ENST00000168712.1,1,ENSP00000168712.1,NM_002007.2,,3422,39046
9087,9817,KEAP1,23177,16966,GRCh37,ENST00000171111.5,1,ENSP00000171111.4,NM_203500.1,,14273,9087
4199,57103,TIGAR,1185,30151,GRCh37,ENST00000179259.4,1,ENSP00000179259.4,NM_020375,,25657,4199
40700,3294,HSD17B2,5211,5826,GRCh37,ENST00000199936.4,1,ENSP00000199936.4,NM_002153,,4912,40700
11607,10683,DLL3,2909,18760,GRCh37,ENST00000205143.4,1,ENSP00000205143.3,NM_016941.3,,15752,11607
24628,2099,ESR1,3467,3765,GRCh37,ENST00000206249.3,1,ENSP00000206249.3,NM_001122740.1,,3188,24628
15513,8216,LZTR1,6742,14062,GRCh37,ENST00000215739.8,1,ENSP00000215739.8,NM_006767.3,,11829,15513
33250,5594,MAPK1,6871,9774,GRCh37,ENST00000215832.6,1,ENSP00000215832.6,NM_002745.4,,8233,33250
11486,7494,XBP1,12801,13340,GRCh37,ENST00000216037.6,1,ENSP00000216037.6,NM_005080.3,,11231,11486
24144,3320,HSP90AA1,5253,5870,GRCh37,ENST00000216281.8,1,ENSP00000216281.7,NM_005348,,4952,24144
39010,328,APEX1,587,618,GRCh37,ENST00000216714.3,1,ENSP00000216714.3,NM_001641.3,,512,39010
27389,4792,NFKBIA,7797,8269,GRCh37,ENST00000216797.5,1,ENSP00000216797.5,NM_020529.2,,6982,27389
33490,57761,TRIB3,16228,31000,GRCh37,ENST00000217233.3,1,ENSP00000217233.3,NM_001301188,,26370,33490
15618,10735,STAG2,11355,18827,GRCh37,ENST00000218089.9,1,ENSP00000218089.9,NM_001042749.1,,15808,15618
15631,63035,BCORL1,25657,31407,GRCh37,ENST00000218147.7,1,ENSP00000218147.7,,,26714,15631
38994,4913,NTHL1,8028,8496,GRCh37,ENST00000219066.1,1,ENSP00000219066.1,NM_002528.5,,7172,38994
11139,79918,SETD6,26116,33570,GRCh37,ENST00000219315.4,1,ENSP00000219315.4,NM_001160305.1,,28572,11139
25917,7249,TSC2,12363,12910,GRCh37,ENST00000219476.3,1,ENSP00000219476.3,NM_000548.3,,10865,25917
367,23269,MGA,14010,20908,GRCh37,ENST00000219905.7,1,ENSP00000219905.7,NM_001164273.1,,17544,367
39220,27161,AGO2,3263,23324,GRCh37,ENST00000220592.5,1,ENSP00000220592.5,NM_012154.3,,19629,39220
13888,6422,SFRP1,10776,11283,GRCh37,ENST00000220772.3,1,ENSP00000220772.3,NM_003012.4,,9511,13888
18952,27121,DKK4,2894,23256,GRCh37,ENST00000220812.2,1,ENSP00000220812.2,NM_014420.2,,19573,18952
11790,3646,EIF3E,3277,6375,GRCh37,ENST00000220849.5,1,ENSP00000220849.5,NM_001568,,5385,11790
11621,10535,RNASEH2A,18518,18457,GRCh37,ENST00000221486.4,1,ENSP00000221486.3,NM_006397,,15498,11621
